Date,Entity,TxnType,DocNum,Name,Memo,Account,AccountName,Debit,Credit,Class,Source
2025-01-02,"Northbridge Software, Inc.",Bill,BILL-5046,Slack Technologies,,6410,Computer & Internet Expense,105.16,0.0,,
2025-01-02,"Northbridge Software, Inc.",Bill,BILL-5046,Slack Technologies,,2000,Accounts Payable,0.0,105.16,,
2025-01-03,"Northbridge Software, Inc.",Bill,BILL-5043,Marriott Hotels,,6500,Travel & Entertainment,487.55,0.0,,
2025-01-03,"Northbridge Software, Inc.",Bill,BILL-5043,Marriott Hotels,,2000,Accounts Payable,0.0,487.55,,
2025-01-04,"Northbridge Software, Inc.",Bill,BILL-5042,United Airlines,,6500,Travel & Entertainment,182.99,0.0,,
2025-01-04,"Northbridge Software, Inc.",Bill,BILL-5042,United Airlines,,2000,Accounts Payable,0.0,182.99,,
2025-01-08,"Northbridge Software, Inc.",Bill,BILL-5041,Sterling & Voss LLP (Legal),,6800,Professional Fees,2869.5,0.0,,
2025-01-08,"Northbridge Software, Inc.",Bill,BILL-5045,Figma,,2000,Accounts Payable,0.0,2351.8,,
2025-01-08,"Northbridge Software, Inc.",Bill,BILL-5045,Figma,,6400,Dues & Subscriptions,2351.8,0.0,,
2025-01-08,"Northbridge Software, Inc.",Bill,BILL-5041,Sterling & Voss LLP (Legal),,2000,Accounts Payable,0.0,2869.5,,
2025-01-15,"Northbridge Software, Inc.",Journal,COMM-5225,Various Reps,Commission accrual,2400,Accrued Expenses,0.0,10297.41,,
2025-01-15,"Northbridge Software, Inc.",Journal,COMM-5225,Various Reps,Commission accrual,6200,Sales Commissions,10297.41,0.0,,
2025-01-17,"Northbridge Software, Inc.",Payment,PMT-5001,Stripe Collections,Customer payments collected,1200,Accounts Receivable,0.0,177657.07,,
2025-01-17,"Northbridge Software, Inc.",Payment,PMT-5001,Stripe Collections,Customer payments collected,1010,Stripe Clearing,177657.07,0.0,,
2025-01-17,"Northbridge Software, Inc.",Invoice,INV-5001,Various Customers,Monthly subscription revenue (per Stripe summary),1200,Accounts Receivable,196875.96,0.0,,Manual re-entry
2025-01-17,"Northbridge Software, Inc.",Journal,JE-5001,Stripe,Payment processing fees,5020,Payment Processing Fees (COGS),5152.06,0.0,,
2025-01-17,"Northbridge Software, Inc.",Transfer,SWEEP-5001,Stripe,Stripe payout swept to bank,1010,Stripe Clearing,0.0,172505.01,,
2025-01-17,"Northbridge Software, Inc.",Invoice,INV-5001,Various Customers,Monthly subscription revenue (per Stripe summary),4000,Subscription Revenue,0.0,196875.96,,Manual re-entry
2025-01-17,"Northbridge Software, Inc.",Journal,JE-5001,Stripe,Payment processing fees,1010,Stripe Clearing,0.0,5152.06,,
2025-01-17,"Northbridge Software, Inc.",Bill,BILL-5039,Unknown / no receipt,,2000,Accounts Payable,0.0,493.84,,
2025-01-17,"Northbridge Software, Inc.",Transfer,SWEEP-5001,Stripe,Stripe payout swept to bank,1000,Chase Business Checking,172505.01,0.0,,
2025-01-17,"Northbridge Software, Inc.",Bill,BILL-5039,Unknown / no receipt,,6900,Misc Expense,493.84,0.0,,
2025-01-19,"Northbridge Software, Inc.",Bill,BILL-5038,AWS,,6400,Dues & Subscriptions,2133.83,0.0,,
2025-01-19,"Northbridge Software, Inc.",Bill,BILL-5038,AWS,,2000,Accounts Payable,0.0,2133.83,,
2025-01-20,"Northbridge Software, Inc.",Bill,BILL-5037,Sterling & Voss LLP (Legal),,2000,Accounts Payable,0.0,9183.39,,
2025-01-20,"Northbridge Software, Inc.",Bill,BILL-5037,Sterling & Voss LLP (Legal),,6800,Professional Fees,9183.39,0.0,,
2025-01-20,"Northbridge Software, Inc.",Bill,BILL-5002,AWS,Hosting,5000,Hosting & Infrastructure (COGS),20718.54,0.0,,
2025-01-21,"Northbridge Software, Inc.",Journal,JE-MANUAL-0-0,Jenna Ruiz,YE adj,6900,Misc Expense,0.0,3947.56,,"Manual, no attachment"
2025-01-21,"Northbridge Software, Inc.",Journal,JE-MANUAL-0-0,Jenna Ruiz,YE adj,6900,Misc Expense,3947.56,0.0,,"Manual, no attachment"
2025-01-22,"Northbridge Software, Inc.",Journal,JE-MANUAL-0-2,Priya Natarajan,correcting entry - see email,2400,Accrued Expenses,2757.19,0.0,,"Manual, no attachment"
2025-01-22,"Northbridge Software, Inc.",Journal,JE-MANUAL-0-2,Priya Natarajan,correcting entry - see email,6901,Misc Expense 2,0.0,2757.19,,"Manual, no attachment"
2025-01-22,"Northbridge Software, Inc.",Bill,BILL-5040,Zoom,,2000,Accounts Payable,0.0,98.5,,
2025-01-22,"Northbridge Software, Inc.",Bill,BILL-5040,Zoom,,6410,Computer & Internet Expense,98.5,0.0,,
2025-01-27,"Northbridge Software, Inc.",Bill,BILL-5044,Austin Commercial Properties LLC,,6700,Rent Expense,13957.08,0.0,,
2025-01-27,"Northbridge Software, Inc.",Bill,BILL-5044,Austin Commercial Properties LLC,,2000,Accounts Payable,0.0,13957.08,,
2025-01-27,"Northbridge Software, Inc.",Bill,BILL-5002,AWS,Hosting,2000,Accounts Payable,0.0,20718.54,,
2025-01-28,"Northbridge Software, Inc.",Journal,PR-5025,ADP Payroll,Engineering payroll,6000,Salaries & Wages - Engineering,174275.02,0.0,,
2025-01-28,"Northbridge Software, Inc.",Journal,PR-5025,ADP Payroll,Payroll taxes & benefits,6100,Payroll Taxes & Benefits,98100.44,0.0,,
