txn_date,merchant,amount,receipt_on_file,coded_to_account
2025-01-01,Uber,309.69,N,660
2025-01-02,DoorDash,321.67,N,660
2025-01-11,Best Buy,513.31,N,660
2025-01-20,Apple.com/Bill,398.09,N,670
2025-01-22,LinkedIn,212.59,N,750
2025-01-22,Uber,387.09,N,661
2025-01-23,Best Buy,388.85,N,661
2025-01-24,LinkedIn,261.02,N,660
2025-01-28,DoorDash,443.83,N,661
2025-01-28,Adobe,394.73,N,660
2025-01-28,Apple.com/Bill,557.98,N,661
2025-01-29,Whole Foods Market,470.61,N,750
2025-01-30,Apple.com/Bill,181.2,N,660
2025-01-31,Best Buy,347.17,N,661
2025-01-31,Whole Foods Market,458.95,N,750
2025-02-01,Apple.com/Bill,605.59,N,670
2025-02-03,LinkedIn,169.18,N,670
2025-02-04,Apple.com/Bill,326.36,N,670
2025-02-04,LinkedIn,45.06,N,660
2025-02-04,Delta Air Lines,225.61,N,660
2025-02-06,Costco Wholesale,385.11,N,750
2025-02-07,Best Buy,23.07,N,661
2025-02-08,Uber,47.98,N,660
2025-02-09,Delta Air Lines,52.15,N,660
2025-02-10,DoorDash,171.9,N,750
2025-02-12,Adobe,21.12,N,750
2025-02-13,Apple.com/Bill,450.76,N,750
2025-02-17,Home Depot,123.28,N,670
2025-02-18,LinkedIn,457.03,N,750
2025-02-18,Marriott Hotels,458.38,N,670
2025-02-18,Airbnb,183.81,N,750
2025-02-19,Delta Air Lines,202.07,N,750
2025-02-21,Best Buy,567.28,N,750
2025-02-22,Delta Air Lines,27.27,N,660
2025-02-22,Delta Air Lines,443.89,N,661
2025-02-26,Delta Air Lines,59.86,N,661
2025-02-26,LinkedIn,451.31,N,661
2025-02-27,Apple.com/Bill,456.27,N,661
2025-02-28,Whole Foods Market,514.31,N,660
2025-03-04,Costco Wholesale,213.0,N,661
2025-03-07,Costco Wholesale,468.92,N,661
2025-03-09,Apple.com/Bill,519.96,N,661
2025-03-10,Apple.com/Bill,99.08,N,750
2025-03-11,Home Depot,208.26,N,660
2025-03-11,Apple.com/Bill,224.89,N,750
2025-03-11,Costco Wholesale,393.8,N,661
2025-03-13,DoorDash,23.02,N,661
2025-03-13,Uber,270.02,N,661
2025-03-15,Costco Wholesale,52.25,N,660
2025-03-16,Airbnb,226.91,N,670
2025-03-17,LinkedIn,76.66,N,661
2025-03-21,Best Buy,313.43,N,660
2025-03-22,Best Buy,223.0,N,660
2025-03-22,Home Depot,61.33,N,750
2025-03-26,Marriott Hotels,529.47,N,750
2025-03-30,Uber,229.07,N,670
2025-04-01,Marriott Hotels,45.65,N,661
2025-04-01,Adobe,199.5,N,750
2025-04-02,DoorDash,520.39,N,750
