Date,Entity,TxnType,DocNum,Name,Memo,Account,AccountName,Debit,Credit,Source
2025-01-02,Verve Supply Co.,Payment,PMT-9004,Wholesale Customers,Wholesale AR collections,090,Mercury Business Checking,122619.15,0.0,
2025-01-02,Verve Supply Co.,Payment,PMT-9004,Wholesale Customers,Wholesale AR collections,110,Accounts Receivable,0.0,122619.15,
2025-01-03,Verve Supply Co.,Sales,SO-9003,Wholesale,Monthly sales summary,110,Accounts Receivable,147981.9,0.0,
2025-01-03,Verve Supply Co.,Sales,SO-9003,Wholesale,Monthly sales summary,402,Sales - Wholesale,0.0,147981.9,
2025-01-05,Verve Supply Co.,Transfer,SWEEP-9004,Shopify Payouts,Payout swept to bank,091,Stripe/Shopify Payments Clearing,0.0,159750.65,
2025-01-05,Verve Supply Co.,Transfer,SWEEP-9004,Shopify Payouts,Payout swept to bank,090,Mercury Business Checking,159750.65,0.0,
2025-01-06,Verve Supply Co.,Bill,BILL-9063,Bright Packaging Co,,500,Cost of Goods Sold,3859.8,0.0,
2025-01-06,Verve Supply Co.,Bill,BILL-9063,Bright Packaging Co,,200,Accounts Payable,0.0,3859.8,
2025-01-08,Verve Supply Co.,Bill,BILL-9062,Pacific Fulfillment LLC,,510,Freight & Shipping (COGS),12392.68,0.0,
2025-01-08,Verve Supply Co.,Bill,BILL-9062,Pacific Fulfillment LLC,,200,Accounts Payable,0.0,12392.68,
2025-01-10,Verve Supply Co.,Bill,BILL-9061,UPS,,200,Accounts Payable,0.0,528.53,
2025-01-10,Verve Supply Co.,Bill,BILL-9061,UPS,,510,Freight & Shipping (COGS),528.53,0.0,
2025-01-15,Verve Supply Co.,Sales,SO-9002,Amazon,Monthly sales summary,091,Stripe/Shopify Payments Clearing,54704.35,0.0,
2025-01-15,Verve Supply Co.,Sales,SO-9002,Amazon,Monthly sales summary,401,Sales - Amazon,0.0,54704.35,
2025-01-16,Verve Supply Co.,Sales,SO-9001,Shopify,Monthly sales summary,091,Stripe/Shopify Payments Clearing,110157.0,0.0,
