order_id,order_date,channel,sku,product_name,qty,unit_price,discount_pct,line_total
#88001,2025-01-09,Amazon,VS-KTL-ST,Stovetop Kettle,1,69.0,0.0,69.0
#88001,2025-01-09,Amazon,VS-MUG-SET,Ceramic Mug Set of 4,1,42.0,0.0,42.0
#88001,2025-01-09,Amazon,VS-MUG-SET,Ceramic Mug Set of 4,2,42.0,0.0,84.0
#88002,2025-01-15,Shopify,VS-CB-MAP,Maple Cutting Board,3,58.0,0.0,174.0
#88003,2025-01-15,Shopify,VS-ST-8QT,8qt Stainless Stockpot,1,129.0,0.0,129.0
#88003,2025-01-15,Shopify,VS-KNF-CHEF,8in Chef Knife,3,65.0,0.1,175.5
#88004,2025-01-26,Wholesale,VS-ST-8QT,8qt Stainless Stockpot,12,129.0,0.45,851.4
#88004,2025-01-26,Wholesale,VS-CI-10,10in Cast Iron Skillet,12,79.0,0.45,521.4
#88005,2025-01-07,Amazon,VS-CI-12,12in Cast Iron Skillet,1,95.0,0.0,95.0
#88005,2025-01-07,Amazon,VS-CI-10,10in Cast Iron Skillet,2,79.0,0.0,158.0
#88006,2025-01-14,Amazon,VS-KNF-SET5,5-Piece Knife Set,3,189.0,0.0,567.0
#88006,2025-01-14,Amazon,VS-BAK-SHT,Half Sheet Baking Pan (2pk),1,39.0,0.15,33.15
#88007,2025-01-16,Shopify,VS-UTN-SET,6-Piece Utensil Set,1,59.0,0.15,50.15
#88007,2025-01-16,Shopify,VS-CI-10,10in Cast Iron Skillet,3,79.0,0.0,237.0
#88008,2025-01-21,Amazon,VS-UTN-SET,6-Piece Utensil Set,3,59.0,0.0,177.0
#88008,2025-01-21,Amazon,VS-ST-3QT,3qt Stainless Saucepan,2,74.0,0.0,148.0
#88008,2025-01-21,Amazon,VS-CB-MAP,Maple Cutting Board,1,58.0,0.0,58.0
#88009,2025-01-07,Shopify,VS-KTL-ST,Stovetop Kettle,2,69.0,0.0,138.0
#88010,2025-01-13,Shopify,VS-KNF-SET5,5-Piece Knife Set,3,189.0,0.0,567.0
#88010,2025-01-13,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,2,42.0,0.0,84.0
#88011,2025-01-04,Amazon,VS-CB-WAL,Walnut Cutting Board,1,68.0,0.0,68.0
#88011,2025-01-04,Amazon,VS-ST-3QT,3qt Stainless Saucepan,2,74.0,0.0,148.0
#88011,2025-01-04,Amazon,VS-CI-10,10in Cast Iron Skillet,2,79.0,0.0,158.0
#88011,2025-01-04,Amazon,VS-KNF-SET5,5-Piece Knife Set,2,189.0,0.0,378.0
#88012,2025-01-08,Shopify,VS-KNF-SET5,5-Piece Knife Set,1,189.0,0.0,189.0
#88012,2025-01-08,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,1,42.0,0.0,42.0
#88013,2025-01-07,Shopify,VS-KNF-CHEF,8in Chef Knife,2,65.0,0.1,117.0
#88013,2025-01-07,Shopify,VS-KTL-ST,Stovetop Kettle,1,69.0,0.0,69.0
#88013,2025-01-07,Shopify,VS-CB-WAL,Walnut Cutting Board,1,68.0,0.0,68.0
#88014,2025-01-31,Amazon,VS-ST-3QT,3qt Stainless Saucepan,1,74.0,0.15,62.9
#88014,2025-01-31,Amazon,VS-KTL-ST,Stovetop Kettle,2,69.0,0.0,138.0
#88014,2025-01-31,Amazon,VS-BAK-SHT,Half Sheet Baking Pan (2pk),1,39.0,0.0,39.0
#88014,2025-01-31,Amazon,VS-MUG-SET,Ceramic Mug Set of 4,2,42.0,0.0,84.0
#88015,2025-01-31,Shopify,VS-CB-WAL,Walnut Cutting Board,1,68.0,0.0,68.0
#88015,2025-01-31,Shopify,VS-CB-MAP,Maple Cutting Board,1,58.0,0.0,58.0
#88016,2025-01-09,Amazon,VS-KNF-SET5,5-Piece Knife Set,2,189.0,0.0,378.0
#88016,2025-01-09,Amazon,VS-CB-MAP,Maple Cutting Board,2,58.0,0.0,116.0
#88016,2025-01-09,Amazon,VS-KTL-ST,Stovetop Kettle,1,69.0,0.0,69.0
#88017,2025-01-28,Shopify,VS-ST-8QT,8qt Stainless Stockpot,3,129.0,0.0,387.0
#88018,2025-01-07,Shopify,VS-KTL-ST,Stovetop Kettle,1,69.0,0.0,69.0
#88018,2025-01-07,Shopify,VS-UTN-SET,6-Piece Utensil Set,3,59.0,0.0,177.0
#88019,2025-01-20,Shopify,VS-CB-MAP,Maple Cutting Board,2,58.0,0.0,116.0
#88020,2025-01-26,Amazon,VS-ST-3QT,3qt Stainless Saucepan,1,74.0,0.0,74.0
#88021,2025-01-31,Shopify,VS-UTN-SET,6-Piece Utensil Set,1,59.0,0.1,53.1
#88022,2025-01-12,Amazon,VS-KTL-ST,Stovetop Kettle,1,69.0,0.0,69.0
#88023,2025-01-28,Shopify,VS-CI-10,10in Cast Iron Skillet,3,79.0,0.0,237.0
#88023,2025-01-28,Shopify,VS-BAK-SHT,Half Sheet Baking Pan (2pk),1,39.0,0.0,39.0
#88024,2025-01-01,Wholesale,VS-CI-12,12in Cast Iron Skillet,12,95.0,0.45,627.0
#88024,2025-01-01,Wholesale,VS-CI-12,12in Cast Iron Skillet,6,95.0,0.45,313.5
#88024,2025-01-01,Wholesale,VS-KTL-ST,Stovetop Kettle,12,69.0,0.45,455.4
#88024,2025-01-01,Wholesale,VS-ST-3QT,3qt Stainless Saucepan,12,74.0,0.45,488.4
#88025,2025-01-17,Wholesale,VS-CI-10,10in Cast Iron Skillet,24,79.0,0.45,1042.8
#88026,2025-01-12,Amazon,VS-KNF-SET5,5-Piece Knife Set,1,189.0,0.0,189.0
#88026,2025-01-12,Amazon,VS-UTN-SET,6-Piece Utensil Set,2,59.0,0.0,118.0
#88026,2025-01-12,Amazon,VS-KNF-SET5,5-Piece Knife Set,2,189.0,0.0,378.0
#88027,2025-01-05,Amazon,VS-MUG-SET,Ceramic Mug Set of 4,2,42.0,0.1,75.6
#88028,2025-01-01,Amazon,VS-KNF-SET5,5-Piece Knife Set,2,189.0,0.0,378.0
#88029,2025-01-18,Shopify,VS-CB-MAP,Maple Cutting Board,1,58.0,0.0,58.0
#88029,2025-01-18,Shopify,VS-CB-WAL,Walnut Cutting Board,1,68.0,0.15,57.8
#88030,2025-01-29,Shopify,VS-ST-8QT,8qt Stainless Stockpot,1,129.0,0.0,129.0
#88030,2025-01-29,Shopify,VS-UTN-SET,6-Piece Utensil Set,2,59.0,0.0,118.0
#88030,2025-01-29,Shopify,VS-ST-3QT,3qt Stainless Saucepan,2,74.0,0.0,148.0
#88030,2025-01-29,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,1,42.0,0.0,42.0
#88031,2025-01-05,Shopify,VS-UTN-SET,6-Piece Utensil Set,1,59.0,0.0,59.0
#88032,2025-01-02,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,1,42.0,0.0,42.0
#88032,2025-01-02,Shopify,VS-CB-MAP,Maple Cutting Board,1,58.0,0.0,58.0
#88033,2025-01-17,Shopify,VS-CB-MAP,Maple Cutting Board,2,58.0,0.1,104.4
#88033,2025-01-17,Shopify,VS-CI-12,12in Cast Iron Skillet,2,95.0,0.0,190.0
#88034,2025-01-13,Wholesale,VS-ST-3QT,3qt Stainless Saucepan,24,74.0,0.45,976.8
#88034,2025-01-13,Wholesale,VS-KNF-SET5,5-Piece Knife Set,24,189.0,0.45,2494.8
#88034,2025-01-13,Wholesale,VS-CI-12,12in Cast Iron Skillet,12,95.0,0.45,627.0
#88034,2025-01-13,Wholesale,VS-MUG-SET,Ceramic Mug Set of 4,12,42.0,0.45,277.2
#88035,2025-01-01,Amazon,VS-ST-3QT,3qt Stainless Saucepan,1,74.0,0.0,74.0
#88036,2025-01-03,Shopify,VS-UTN-SET,6-Piece Utensil Set,1,59.0,0.0,59.0
#88036,2025-01-03,Shopify,VS-KNF-CHEF,8in Chef Knife,1,65.0,0.0,65.0
#88036,2025-01-03,Shopify,VS-UTN-SET,6-Piece Utensil Set,3,59.0,0.0,177.0
