post_date,description,amount,running_balance,cleared
2025-01-02,Wholesale Customers - Wholesale AR collections,122619.15,218619.15,Y
2025-01-05,Shopify Payouts - Payout swept to bank,159750.65,378369.8,Y
2025-01-20,Gusto Payroll - Payroll clearing,-134921.06,243448.74,Y
2025-02-06,Wholesale Customers - Wholesale AR collections,125102.2,368550.94,Y
2025-02-20,Shopify Payouts - Payout swept to bank,176271.27,544822.21,Y
2025-02-20,Gusto Payroll - Payroll clearing,-152158.8,392663.41,Y
2025-03-02,Shopify Payouts - Payout swept to bank,175120.1,567783.51,Y
2025-03-09,Wholesale Customers - Wholesale AR collections,146892.24,714675.75,Y
2025-03-20,Gusto Payroll - Payroll clearing,-152158.8,562516.95,Y
2025-04-10,Shopify Payouts - Payout swept to bank,192987.54,755504.49,Y
2025-04-20,Gusto Payroll - Payroll clearing,-175085.18,580419.31,Y
2025-04-28,Wholesale Customers - Wholesale AR collections,112982.62,693401.93,Y
2025-05-01,Shopify Payouts - Payout swept to bank,192515.69,885917.62,Y
2025-05-20,Gusto Payroll - Payroll clearing,-175085.18,710832.44,Y
2025-05-24,Wholesale Customers - Wholesale AR collections,125569.58,836402.02,Y
2025-06-20,Gusto Payroll - Payroll clearing,-161646.62,674755.4,Y
2025-06-26,Wholesale Customers - Wholesale AR collections,180670.58,855425.98,Y
2025-06-29,Shopify Payouts - Payout swept to bank,210611.13,1066037.11,Y
2025-07-05,Shopify Payouts - Payout swept to bank,212929.51,1278966.62,Y
2025-07-06,DEBIT CARD PURCHASE - UNRECORDED,-2319.17,2428729.19,N - not recorded in GL
2025-07-16,Wholesale Customers - Wholesale AR collections,133899.09,1412865.71,Y
2025-07-18,DEBIT CARD PURCHASE - UNRECORDED,-450.89,2427544.86,N - not recorded in GL
2025-07-20,Gusto Payroll - Payroll clearing,-161646.62,1251219.09,Y
2025-07-29,DEBIT CARD PURCHASE - UNRECORDED,-1858.04,2431048.36,N - not recorded in GL
2025-08-20,Gusto Payroll - Payroll clearing,-166031.82,1085187.27,Y
2025-08-21,Shopify Payouts - Payout swept to bank,219049.52,1304236.79,Y
2025-08-27,Wholesale Customers - Wholesale AR collections,169680.69,1473917.48,Y
2025-09-01,Shopify Payouts - Payout swept to bank,214100.99,1688018.47,Y
2025-09-10,Wholesale Customers - Wholesale AR collections,199304.3,1887322.77,Y
2025-09-20,Gusto Payroll - Payroll clearing,-166031.82,1721290.95,Y
2025-10-03,Wholesale Customers - Wholesale AR collections,153917.8,1875208.75,Y
2025-10-12,Shopify Payouts - Payout swept to bank,245605.6,2120814.35,Y
2025-10-20,Gusto Payroll - Payroll clearing,-179520.88,1941293.47,Y
2025-11-06,Shopify Payouts - Payout swept to bank,252549.06,2193842.53,Y
2025-11-20,Gusto Payroll - Payroll clearing,-179520.88,2014321.65,Y
2025-11-30,Wholesale Customers - Wholesale AR collections,166687.91,2181009.56,Y
2025-12-08,Shopify Payouts - Payout swept to bank,249368.76,2430378.32,Y
2025-12-15,Wholesale Customers - Wholesale AR collections,182048.96,2612427.28,Y
2025-12-17,DEBIT CARD PURCHASE - UNRECORDED,-733.44,2427995.75,N - not recorded in GL
2025-12-18,DEBIT CARD PURCHASE - UNRECORDED,-386.38,2427158.48,N - not recorded in GL
2025-12-20,Gusto Payroll - Payroll clearing,-179520.88,2432906.4,Y
